======== [ LOG CREATION: 05/12/2022, 15:26:52 ] ========
[05/14/2022, 15:27:56][MQTT] : INFO : Callback recorded: light
[05/14/2022, 15:27:56][MQTT] : INFO : Callback recorded: Air
[05/14/2022, 15:27:56][MQTT] : INFO : Callback recorded: measure/ds
[05/14/2022, 15:27:56][MAIN] : NOTICE :System Started!
[05/14/2022, 15:27:56][MQTT] : INFO : Connection Established!
[05/14/2022, 15:27:56][TEMP] : ERROR : Failed to read temp! : list index out of range
[05/14/2022, 15:27:56][MAIN] : WARN :Temp returned invalid value!
[05/14/2022, 15:27:56][MAIN] : INFO : Water level has changed
[05/14/2022, 15:27:56][MAIN] : WARN :Water level is low!
[05/14/2022, 15:28:07][MAIN] : INFO : Temperatrue has changed! : 80.26
[05/14/2022, 15:28:18][MAIN] : INFO : Temperatrue has changed! : 82.29
[05/14/2022, 15:28:29][MAIN] : INFO : Temperatrue has changed! : 82.06
[05/14/2022, 15:28:29][MAIN] : INFO : Water level has changed
[05/14/2022, 15:28:29][MAIN] : INFO : Water level is good!
[05/14/2022, 15:28:40][MAIN] : INFO : Temperatrue has changed! : 81.72
======== [ RESTART: 05/14/2022, 15:28:54 ] ========
[05/14/2022, 15:28:54][MAIN] : INFO : Logger started!
[05/14/2022, 15:28:54][MQTT] : INFO : Logger linked!
[05/14/2022, 15:28:54][DS] : INFO : Logger linked!
[05/14/2022, 15:28:54][TEMP] : INFO : Logger linked!
[05/14/2022, 15:28:54][MQTT] : INFO : Waiting for Connection...
[05/14/2022, 15:28:55][MQTT] : INFO : Callback recorded: light
[05/14/2022, 15:28:55][MQTT] : INFO : Callback recorded: Air
[05/14/2022, 15:28:55][MQTT] : INFO : Callback recorded: measure/ds
[05/14/2022, 15:28:55][MAIN] : NOTICE :System Started!
[05/14/2022, 15:28:55][MQTT] : INFO : Connection Established!
[05/14/2022, 15:28:55][TEMP] : ERROR : Failed to read temp! : list index out of range
[05/14/2022, 15:28:55][MAIN] : WARN :Temp returned invalid value!
[05/14/2022, 15:28:55][MAIN] : INFO : Water level has changed
[05/14/2022, 15:28:55][MAIN] : WARN :Water level is low!
======== [ RESTART: 05/14/2022, 15:29:26 ] ========
[05/14/2022, 15:29:26][MAIN] : INFO : Logger started!
[05/14/2022, 15:29:26][MQTT] : INFO : Logger linked!
[05/14/2022, 15:29:26][DS] : INFO : Logger linked!
[05/14/2022, 15:29:26][TEMP] : INFO : Logger linked!
[05/14/2022, 15:29:26][MQTT] : INFO : Waiting for Connection...
[05/14/2022, 15:29:27][MQTT] : INFO : Callback recorded: light
[05/14/2022, 15:29:27][MQTT] : INFO : Callback recorded: Air
[05/14/2022, 15:29:27][MQTT] : INFO : Callback recorded: measure/ds
[05/14/2022, 15:29:27][MAIN] : NOTICE :System Started!
[05/14/2022, 15:29:27][MQTT] : INFO : Connection Established!
[05/14/2022, 15:29:27][TEMP] : ERROR : Failed to read temp! : list index out of range
[05/14/2022, 15:29:27][MAIN] : WARN :Temp returned invalid value!
[05/14/2022, 15:29:38][MAIN] : INFO : Temperatrue has changed! : 80.38
[05/14/2022, 15:29:38][MAIN] : INFO : Water level has changed
[05/14/2022, 15:29:38][MAIN] : WARN :Water level is low!
[05/14/2022, 15:29:49][MAIN] : INFO : Temperatrue has changed! : 85.66
[05/14/2022, 15:29:49][MAIN] : INFO : Water level has changed
[05/14/2022, 15:29:49][MAIN] : INFO : Water level is good!
[05/14/2022, 15:30:00][MAIN] : INFO : Temperatrue has changed! : 86.79
[05/14/2022, 15:30:11][MAIN] : INFO : Temperatrue has changed! : 89.15
[05/14/2022, 15:30:22][MAIN] : INFO : Temperatrue has changed! : 90.05
[05/14/2022, 15:30:22][MAIN] : INFO : Water level has changed
[05/14/2022, 15:30:22][MAIN] : WARN :Water level is low!
[05/14/2022, 15:30:33][MAIN] : INFO : Temperatrue has changed! : 90.16
[05/14/2022, 15:30:33][MAIN] : INFO : Water level has changed
[05/14/2022, 15:30:33][MAIN] : INFO : Water level is good!
======== [ RESTART: 05/14/2022, 15:33:17 ] ========
[05/14/2022, 15:33:17][MAIN] : INFO : Logger started!
[05/14/2022, 15:33:17][MQTT] : INFO : Logger linked!
[05/14/2022, 15:33:17][DS] : INFO : Logger linked!
[05/14/2022, 15:33:17][TEMP] : INFO : Logger linked!
[05/14/2022, 15:33:17][MQTT] : INFO : Waiting for Connection...
[05/14/2022, 15:33:18][MQTT] : INFO : Callback recorded: light
[05/14/2022, 15:33:18][MQTT] : INFO : Callback recorded: Air
[05/14/2022, 15:33:18][MQTT] : INFO : Callback recorded: measure/ds
[05/14/2022, 15:33:18][MAIN] : NOTICE :System Started!
[05/14/2022, 15:33:18][MQTT] : INFO : Connection Established!
[05/14/2022, 15:33:18][TEMP] : ERROR : Failed to read temp! : list index out of range
[05/14/2022, 15:33:18][MAIN] : WARN :Temp returned invalid value!
[05/14/2022, 15:33:18][MAIN] : INFO : Water level has changed
[05/14/2022, 15:33:18][MAIN] : WARN :Water level is low!
[05/14/2022, 15:33:29][MAIN] : INFO : Temperatrue has changed! : 83.41
[05/14/2022, 15:33:29][MAIN] : INFO : Water level has changed
[05/14/2022, 15:33:29][MAIN] : INFO : Water level is good!
[05/14/2022, 15:33:40][MAIN] : INFO : Temperatrue has changed! : 82.96
[05/14/2022, 15:33:46][MQTT] : INFO : Received: light b'red'
[05/14/2022, 15:33:46][MQTT] : ERROR : Failed to process callback! : NeoPixel support requires running with sudo, please try again!
[05/14/2022, 15:33:51][MAIN] : INFO : Temperatrue has changed! : 82.74
======== [ RESTART: 05/14/2022, 15:34:09 ] ========
[05/14/2022, 15:34:09][MAIN] : INFO : Logger started!
[05/14/2022, 15:34:09][MQTT] : INFO : Logger linked!
[05/14/2022, 15:34:09][DS] : INFO : Logger linked!
[05/14/2022, 15:34:09][TEMP] : INFO : Logger linked!
[05/14/2022, 15:34:09][MQTT] : INFO : Waiting for Connection...
[05/14/2022, 15:34:10][MQTT] : INFO : Callback recorded: light
[05/14/2022, 15:34:10][MQTT] : INFO : Callback recorded: Air
[05/14/2022, 15:34:10][MQTT] : INFO : Callback recorded: measure/ds
[05/14/2022, 15:34:10][MAIN] : NOTICE :System Started!
[05/14/2022, 15:34:10][MQTT] : INFO : Connection Established!
[05/14/2022, 15:34:10][TEMP] : ERROR : Failed to read temp! : list index out of range
[05/14/2022, 15:34:10][MAIN] : WARN :Temp returned invalid value!
[05/14/2022, 15:34:21][MAIN] : INFO : Temperatrue has changed! : 81.95
[05/14/2022, 15:34:32][MAIN] : INFO : Temperatrue has changed! : 84.76
[05/14/2022, 15:34:37][MQTT] : INFO : Received: light b'red'
[05/14/2022, 15:34:42][MQTT] : INFO : Received: light b'green'
[05/14/2022, 15:34:43][MAIN] : INFO : Temperatrue has changed! : 86.11
[05/14/2022, 15:34:47][MQTT] : INFO : Received: light b'white'
[05/14/2022, 15:34:54][MAIN] : INFO : Temperatrue has changed! : 85.66
[05/14/2022, 15:34:57][MQTT] : INFO : Received: light b'off'
[05/14/2022, 15:35:05][MAIN] : INFO : Temperatrue has changed! : 84.99
[05/14/2022, 15:35:16][MAIN] : INFO : Temperatrue has changed! : 84.54
[05/14/2022, 15:35:24][MAIN] : NOTICE :Received kill signal
[05/14/2022, 15:35:24][DS] : NOTICE :Cleaning up...
======== [ RESTART: 05/14/2022, 15:38:59 ] ========
[05/14/2022, 15:38:59][MAIN] : INFO : Logger started!
[05/14/2022, 15:38:59][MQTT] : INFO : Logger linked!
[05/14/2022, 15:38:59][DS] : INFO : Logger linked!
[05/14/2022, 15:38:59][TEMP] : INFO : Logger linked!
[05/14/2022, 15:38:59][MQTT] : INFO : Waiting for Connection...
[05/14/2022, 15:38:59][MQTT] : INFO : Callback recorded: light
[05/14/2022, 15:38:59][MQTT] : INFO : Callback recorded: Air
[05/14/2022, 15:38:59][MQTT] : INFO : Callback recorded: measure/ds
[05/14/2022, 15:38:59][MAIN] : NOTICE :System Started!
[05/14/2022, 15:38:59][MQTT] : INFO : Connection Established!
[05/14/2022, 15:38:59][TEMP] : ERROR : Failed to read temp! : list index out of range
[05/14/2022, 15:38:59][MAIN] : WARN :Temp returned invalid value!
[05/14/2022, 15:38:59][MAIN] : INFO : Power status changed
[05/14/2022, 15:38:59][MAIN] : WARN :Power has been lost!
[05/14/2022, 15:39:10][MAIN] : INFO : Temperatrue has changed! : 79.47
[05/14/2022, 15:39:21][MAIN] : INFO : Temperatrue has changed! : 79.36
[05/14/2022, 15:39:32][MAIN] : INFO : Temperatrue has changed! : 79.25
[05/14/2022, 15:39:32][MAIN] : INFO : Water level has changed
[05/14/2022, 15:39:32][MAIN] : WARN :Water level is low!
[05/14/2022, 15:39:43][MAIN] : INFO : Temperatrue has changed! : 79.14
[05/14/2022, 15:39:43][MAIN] : INFO : Water level has changed
[05/14/2022, 15:39:43][MAIN] : INFO : Water level is good!
[05/14/2022, 15:39:54][MAIN] : INFO : Temperatrue has changed! : 79.03
[05/14/2022, 15:39:54][MAIN] : INFO : Water level has changed
[05/14/2022, 15:39:54][MAIN] : WARN :Water level is low!
[05/14/2022, 15:40:05][MAIN] : INFO : Temperatrue has changed! : 78.91
[05/14/2022, 15:40:05][MAIN] : INFO : Water level has changed
[05/14/2022, 15:40:05][MAIN] : INFO : Water level is good!
[05/14/2022, 15:40:16][MAIN] : INFO : Temperatrue has changed! : 78.8
[05/14/2022, 15:40:16][MAIN] : INFO : Water level has changed
[05/14/2022, 15:40:16][MAIN] : WARN :Water level is low!
[05/14/2022, 15:40:38][MAIN] : INFO : Temperatrue has changed! : 78.69
[05/14/2022, 15:40:39][MQTT] : INFO : Received: light b'blue'
[05/14/2022, 15:40:47][MQTT] : INFO : Received: light b'off'
[05/14/2022, 15:40:49][MAIN] : INFO : Water level has changed
[05/14/2022, 15:40:49][MAIN] : INFO : Water level is good!
[05/14/2022, 15:41:00][MAIN] : INFO : Temperatrue has changed! : 78.58
[05/14/2022, 15:41:00][MAIN] : INFO : Water level has changed
[05/14/2022, 15:41:00][MAIN] : WARN :Water level is low!
[05/14/2022, 15:41:11][MAIN] : INFO : Water level has changed
[05/14/2022, 15:41:11][MAIN] : INFO : Water level is good!
[05/14/2022, 15:41:22][MAIN] : INFO : Temperatrue has changed! : 78.46
[05/14/2022, 15:41:22][MAIN] : INFO : Water level has changed
[05/14/2022, 15:41:22][MAIN] : WARN :Water level is low!
[05/14/2022, 15:41:33][MAIN] : INFO : Temperatrue has changed! : 78.35
[05/14/2022, 15:41:33][MAIN] : INFO : Water level has changed
[05/14/2022, 15:41:33][MAIN] : INFO : Water level is good!
[05/14/2022, 15:41:48][MAIN] : NOTICE :Received kill signal
[05/14/2022, 15:41:48][DS] : NOTICE :Cleaning up...
======== [ RESTART: 05/14/2022, 15:41:51 ] ========
[05/14/2022, 15:41:51][MAIN] : INFO : Logger started!
[05/14/2022, 15:41:51][MQTT] : INFO : Logger linked!
[05/14/2022, 15:41:51][DS] : INFO : Logger linked!
[05/14/2022, 15:41:51][TEMP] : INFO : Logger linked!
[05/14/2022, 15:41:51][MQTT] : INFO : Waiting for Connection...
[05/14/2022, 15:41:52][MQTT] : INFO : Callback recorded: light
[05/14/2022, 15:41:52][MQTT] : INFO : Callback recorded: Air
[05/14/2022, 15:41:52][MQTT] : INFO : Callback recorded: measure/ds
[05/14/2022, 15:41:52][MAIN] : NOTICE :System Started!
[05/14/2022, 15:41:52][MQTT] : INFO : Connection Established!
[05/14/2022, 15:41:52][TEMP] : ERROR : Failed to read temp! : list index out of range
[05/14/2022, 15:41:52][MAIN] : WARN :Temp returned invalid value!
[05/14/2022, 15:41:52][MAIN] : INFO : Power status changed
[05/14/2022, 15:41:52][MAIN] : WARN :Power has been lost!
[05/14/2022, 15:42:03][MAIN] : INFO : Temperatrue has changed! : 78.24
[05/14/2022, 15:42:03][MAIN] : INFO : Water level has changed
[05/14/2022, 15:42:03][MAIN] : WARN :Water level is low!
[05/14/2022, 15:42:14][MAIN] : INFO : Temperatrue has changed! : 78.12
[05/14/2022, 15:42:25][MAIN] : INFO : Temperatrue has changed! : 78.24
[05/14/2022, 15:42:25][MAIN] : INFO : Water level has changed
[05/14/2022, 15:42:25][MAIN] : INFO : Water level is good!
[05/14/2022, 15:42:36][MAIN] : INFO : Temperatrue has changed! : 78.12
[05/14/2022, 15:42:36][MAIN] : INFO : Water level has changed
[05/14/2022, 15:42:36][MAIN] : WARN :Water level is low!
[05/14/2022, 15:42:47][MAIN] : INFO : Water level has changed
[05/14/2022, 15:42:47][MAIN] : INFO : Water level is good!
[05/14/2022, 15:42:58][MAIN] : INFO : Water level has changed
[05/14/2022, 15:42:58][MAIN] : WARN :Water level is low!
[05/14/2022, 15:43:08][MAIN] : INFO : Temperatrue has changed! : 78.01
[05/14/2022, 15:43:19][MAIN] : INFO : Water level has changed
[05/14/2022, 15:43:19][MAIN] : INFO : Water level is good!
[05/14/2022, 15:43:30][MAIN] : INFO : Water level has changed
[05/14/2022, 15:43:30][MAIN] : WARN :Water level is low!
[05/14/2022, 15:43:52][MAIN] : INFO : Water level has changed
[05/14/2022, 15:43:52][MAIN] : INFO : Water level is good!
[05/14/2022, 15:44:03][MAIN] : INFO : Temperatrue has changed! : 77.9
[05/14/2022, 15:44:08][MAIN] : NOTICE :Received kill signal
[05/14/2022, 15:44:08][DS] : NOTICE :Cleaning up...
======== [ RESTART: 05/14/2022, 15:53:12 ] ========
[05/14/2022, 15:53:12][MAIN] : INFO : Logger started!
[05/14/2022, 15:53:12][MQTT] : INFO : Logger linked!
[05/14/2022, 15:53:12][DS] : INFO : Logger linked!
[05/14/2022, 15:53:12][TEMP] : INFO : Logger linked!
[05/14/2022, 15:53:12][MQTT] : INFO : Waiting for Connection...
[05/14/2022, 15:53:12][MQTT] : INFO : Callback recorded: light
[05/14/2022, 15:53:12][MQTT] : INFO : Callback recorded: Air
[05/14/2022, 15:53:12][MQTT] : INFO : Callback recorded: measure/ds
[05/14/2022, 15:53:12][MAIN] : NOTICE :System Started!
[05/14/2022, 15:53:12][MQTT] : INFO : Connection Established!
[05/14/2022, 15:53:12][TEMP] : ERROR : Failed to read temp! : list index out of range
[05/14/2022, 15:53:12][MAIN] : WARN :Temp returned invalid value!
[05/14/2022, 15:53:12][MAIN] : INFO : Power status changed
[05/14/2022, 15:53:13][MAIN] : WARN :Power has been lost!
[05/14/2022, 15:53:23][MAIN] : INFO : Temperatrue has changed! : 77.22
[05/14/2022, 15:53:56][MAIN] : INFO : Water level has changed
[05/14/2022, 15:53:56][MAIN] : WARN :Water level is low!
[05/14/2022, 15:54:07][MAIN] : INFO : Water level has changed
[05/14/2022, 15:54:07][MAIN] : INFO : Water level is good!
[05/14/2022, 15:54:18][MAIN] : INFO : Water level has changed
[05/14/2022, 15:54:18][MAIN] : WARN :Water level is low!
[05/14/2022, 15:54:51][MAIN] : INFO : Temperatrue has changed! : 77.11
[05/14/2022, 15:54:51][MAIN] : INFO : Water level has changed
[05/14/2022, 15:54:51][MAIN] : INFO : Water level is good!
[05/14/2022, 15:54:51][MAIN] : INFO : Power status changed
[05/14/2022, 15:54:51][MAIN] : INFO : Power has been restored!
[05/14/2022, 15:55:02][MAIN] : INFO : Water level has changed
[05/14/2022, 15:55:02][MAIN] : WARN :Water level is low!
[05/14/2022, 15:55:02][MAIN] : INFO : Power status changed
[05/14/2022, 15:55:02][MAIN] : WARN :Power has been lost!
[05/14/2022, 15:55:13][MAIN] : INFO : Temperatrue has changed! : 77.0
[05/14/2022, 15:55:24][MAIN] : INFO : Water level has changed
[05/14/2022, 15:55:24][MAIN] : INFO : Water level is good!
[05/14/2022, 15:55:56][MAIN] : INFO : Water level has changed
[05/14/2022, 15:55:56][MAIN] : WARN :Water level is low!
[05/14/2022, 15:56:07][MAIN] : INFO : Water level has changed
[05/14/2022, 15:56:07][MAIN] : INFO : Water level is good!
[05/14/2022, 15:56:18][MAIN] : INFO : Temperatrue has changed! : 76.89
[05/14/2022, 15:56:29][MAIN] : INFO : Water level has changed
[05/14/2022, 15:56:29][MAIN] : WARN :Water level is low!
[05/14/2022, 15:56:40][MAIN] : INFO : Temperatrue has changed! : 77.0
[05/14/2022, 15:56:51][MAIN] : INFO : Temperatrue has changed! : 76.89
[05/14/2022, 15:56:51][MAIN] : INFO : Water level has changed
[05/14/2022, 15:56:51][MAIN] : INFO : Water level is good!
[05/14/2022, 15:57:02][MAIN] : INFO : Temperatrue has changed! : 76.78
[05/14/2022, 15:57:02][MAIN] : INFO : Water level has changed
[05/14/2022, 15:57:02][MAIN] : WARN :Water level is low!
[05/14/2022, 15:57:24][MAIN] : INFO : Temperatrue has changed! : 76.66
[05/14/2022, 15:57:24][MAIN] : INFO : Water level has changed
[05/14/2022, 15:57:24][MAIN] : INFO : Water level is good!
[05/14/2022, 15:57:35][MAIN] : INFO : Temperatrue has changed! : 76.78
[05/14/2022, 15:57:46][MAIN] : INFO : Water level has changed
[05/14/2022, 15:57:46][MAIN] : WARN :Water level is low!
[05/14/2022, 15:57:56][MAIN] : INFO : Water level has changed
[05/14/2022, 15:57:56][MAIN] : INFO : Water level is good!
[05/14/2022, 15:58:02][MAIN] : NOTICE :Received kill signal
[05/14/2022, 15:58:03][DS] : NOTICE :Cleaning up...
======== [ RESTART: 05/14/2022, 16:00:01 ] ========
[05/14/2022, 16:00:01][MAIN] : INFO : Logger started!
[05/14/2022, 16:00:01][MQTT] : INFO : Logger linked!
[05/14/2022, 16:00:01][DS] : INFO : Logger linked!
[05/14/2022, 16:00:01][TEMP] : INFO : Logger linked!
[05/14/2022, 16:00:01][MQTT] : INFO : Waiting for Connection...
[05/14/2022, 16:00:02][MQTT] : INFO : Callback recorded: light
[05/14/2022, 16:00:02][MQTT] : INFO : Callback recorded: Air
[05/14/2022, 16:00:02][MQTT] : INFO : Callback recorded: measure/ds
[05/14/2022, 16:00:02][MAIN] : NOTICE :System Started!
[05/14/2022, 16:00:02][MQTT] : INFO : Connection Established!
[05/14/2022, 16:00:02][TEMP] : ERROR : Failed to read temp! : list index out of range
[05/14/2022, 16:00:02][MAIN] : WARN :Temp returned invalid value!
[05/14/2022, 16:00:02][MAIN] : INFO : Water level has changed
[05/14/2022, 16:00:02][MAIN] : WARN :Water level is low!
[05/14/2022, 16:00:02][MAIN] : INFO : Power status changed
[05/14/2022, 16:00:02][MAIN] : WARN :Power has been lost!
[05/14/2022, 16:00:13][MAIN] : INFO : Temperatrue has changed! : 76.78
[05/14/2022, 16:00:24][MAIN] : INFO : Temperatrue has changed! : 77.0
[05/14/2022, 16:00:24][MAIN] : INFO : Water level has changed
[05/14/2022, 16:00:24][MAIN] : INFO : Water level is good!
[05/14/2022, 16:00:24][MAIN] : INFO : Power status changed
[05/14/2022, 16:00:24][MAIN] : INFO : Power has been restored!
[05/14/2022, 16:00:35][MAIN] : INFO : Temperatrue has changed! : 78.46
[05/14/2022, 16:00:35][MAIN] : INFO : Water level has changed
[05/14/2022, 16:00:35][MAIN] : WARN :Water level is low!
[05/14/2022, 16:00:35][MAIN] : INFO : Power status changed
[05/14/2022, 16:00:35][MAIN] : WARN :Power has been lost!
[05/14/2022, 16:00:56][MAIN] : INFO : Temperatrue has changed! : 78.58
[05/14/2022, 16:01:07][MAIN] : INFO : Temperatrue has changed! : 78.46
[05/14/2022, 16:01:07][MAIN] : INFO : Water level has changed
[05/14/2022, 16:01:07][MAIN] : INFO : Water level is good!
[05/14/2022, 16:01:18][MAIN] : INFO : Temperatrue has changed! : 78.35
[05/14/2022, 16:01:29][MAIN] : INFO : Temperatrue has changed! : 78.24
[05/14/2022, 16:01:29][MAIN] : INFO : Water level has changed
[05/14/2022, 16:01:29][MAIN] : WARN :Water level is low!
[05/14/2022, 16:01:40][MAIN] : INFO : Water level has changed
[05/14/2022, 16:01:40][MAIN] : INFO : Water level is good!
[05/14/2022, 16:01:51][MAIN] : INFO : Temperatrue has changed! : 78.35
[05/14/2022, 16:01:51][MAIN] : INFO : Water level has changed
[05/14/2022, 16:01:51][MAIN] : WARN :Water level is low!
[05/14/2022, 16:01:57][MQTT] : INFO : Received: light b'green'
[05/14/2022, 16:02:02][MAIN] : INFO : Temperatrue has changed! : 78.24
[05/14/2022, 16:02:02][MAIN] : INFO : Water level has changed
[05/14/2022, 16:02:02][MAIN] : INFO : Water level is good!
[05/14/2022, 16:02:03][MQTT] : INFO : Received: light b'off'
[05/14/2022, 16:02:24][MAIN] : INFO : Water level has changed
[05/14/2022, 16:02:24][MAIN] : WARN :Water level is low!
[05/14/2022, 16:02:46][MAIN] : INFO : Water level has changed
[05/14/2022, 16:02:46][MAIN] : INFO : Water level is good!
[05/14/2022, 16:02:57][MAIN] : INFO : Water level has changed
[05/14/2022, 16:02:57][MAIN] : WARN :Water level is low!
[05/14/2022, 16:03:08][MAIN] : INFO : Temperatrue has changed! : 78.12
[05/14/2022, 16:03:08][MAIN] : INFO : Water level has changed
[05/14/2022, 16:03:08][MAIN] : INFO : Water level is good!
[05/14/2022, 16:03:19][MAIN] : INFO : Water level has changed
[05/14/2022, 16:03:19][MAIN] : WARN :Water level is low!
[05/14/2022, 16:03:30][MAIN] : INFO : Water level has changed
[05/14/2022, 16:03:30][MAIN] : INFO : Water level is good!
[05/14/2022, 16:03:41][MAIN] : INFO : Water level has changed
[05/14/2022, 16:03:41][MAIN] : WARN :Water level is low!
[05/14/2022, 16:03:52][MAIN] : INFO : Water level has changed
[05/14/2022, 16:03:52][MAIN] : INFO : Water level is good!
[05/14/2022, 16:04:13][MAIN] : INFO : Temperatrue has changed! : 78.01
[05/14/2022, 16:04:24][MAIN] : INFO : Water level has changed
[05/14/2022, 16:04:24][MAIN] : WARN :Water level is low!
[05/14/2022, 16:05:17][MAIN] : NOTICE :Received kill signal
[05/14/2022, 16:05:17][DS] : NOTICE :Cleaning up...
======== [ RESTART: 05/14/2022, 16:05:24 ] ========
[05/14/2022, 16:05:24][MAIN] : INFO : Logger started!
[05/14/2022, 16:05:24][MQTT] : INFO : Logger linked!
[05/14/2022, 16:05:24][DS] : INFO : Logger linked!
[05/14/2022, 16:05:25][TEMP] : INFO : Logger linked!
[05/14/2022, 16:05:25][MQTT] : INFO : Waiting for Connection...
[05/14/2022, 16:05:26][MQTT] : INFO : Callback recorded: light
[05/14/2022, 16:05:26][MQTT] : INFO : Callback recorded: Air
[05/14/2022, 16:05:26][MQTT] : INFO : Callback recorded: measure/ds
[05/14/2022, 16:05:26][MAIN] : NOTICE :System Started!
[05/14/2022, 16:05:26][MQTT] : INFO : Connection Established!
[05/14/2022, 16:05:26][TEMP] : ERROR : Failed to read temp! : list index out of range
[05/14/2022, 16:05:26][MAIN] : WARN :Temp returned invalid value!
[05/14/2022, 16:05:26][MAIN] : INFO : Water level has changed
[05/14/2022, 16:05:26][MAIN] : WARN :Water level is low!
[05/14/2022, 16:05:26][MAIN] : INFO : Power status changed
[05/14/2022, 16:05:26][MAIN] : WARN :Power has been lost!
[05/14/2022, 16:05:37][MAIN] : INFO : Temperatrue has changed! : 77.9
[05/14/2022, 16:05:58][MAIN] : INFO : Temperatrue has changed! : 78.01
[05/14/2022, 16:05:58][MAIN] : INFO : Power status changed
[05/14/2022, 16:05:58][MAIN] : INFO : Power has been restored!
[05/14/2022, 16:06:20][MAIN] : INFO : Temperatrue has changed! : 77.9
[05/14/2022, 16:06:42][MAIN] : INFO : Temperatrue has changed! : 78.01
[05/14/2022, 16:06:42][MAIN] : INFO : Water level has changed
[05/14/2022, 16:06:42][MAIN] : INFO : Water level is good!
[05/14/2022, 16:06:53][MAIN] : INFO : Temperatrue has changed! : 77.9
[05/14/2022, 16:07:15][MAIN] : INFO : Temperatrue has changed! : 78.01
[05/14/2022, 16:07:26][MAIN] : INFO : Temperatrue has changed! : 77.9
[05/14/2022, 16:07:34][MAIN] : NOTICE :Received kill signal
[05/14/2022, 16:07:34][DS] : NOTICE :Cleaning up...
======== [ RESTART: 05/14/2022, 16:07:57 ] ========
[05/14/2022, 16:07:57][MAIN] : INFO : Logger started!
[05/14/2022, 16:07:57][MQTT] : INFO : Logger linked!
[05/14/2022, 16:07:57][DS] : INFO : Logger linked!
[05/14/2022, 16:07:57][TEMP] : INFO : Logger linked!
[05/14/2022, 16:07:57][MQTT] : INFO : Waiting for Connection...
[05/14/2022, 16:07:59][MQTT] : INFO : Callback recorded: light
[05/14/2022, 16:07:59][MQTT] : INFO : Callback recorded: Air
[05/14/2022, 16:07:59][MQTT] : INFO : Callback recorded: measure/ds
[05/14/2022, 16:07:59][MAIN] : NOTICE :System Started!
[05/14/2022, 16:08:00][MQTT] : INFO : Connection Established!
[05/14/2022, 16:08:00][TEMP] : ERROR : Failed to read temp! : list index out of range
[05/14/2022, 16:08:00][MAIN] : WARN :Temp returned invalid value!
[05/14/2022, 16:08:10][MAIN] : INFO : Temperatrue has changed! : 77.9
[05/14/2022, 16:08:32][MAIN] : INFO : Power status changed
[05/14/2022, 16:08:32][MAIN] : WARN :Power has been lost!
[05/14/2022, 16:08:43][MAIN] : INFO : Water level has changed
[05/14/2022, 16:08:43][MAIN] : WARN :Water level is low!
[05/14/2022, 16:09:56][MAIN] : NOTICE :Received kill signal
[05/14/2022, 16:09:56][DS] : NOTICE :Cleaning up...
======== [ RESTART: 05/14/2022, 16:11:09 ] ========
[05/14/2022, 16:11:09][MAIN] : INFO : Logger started!
[05/14/2022, 16:11:09][MQTT] : INFO : Logger linked!
[05/14/2022, 16:11:09][DS] : INFO : Logger linked!
[05/14/2022, 16:11:09][TEMP] : INFO : Logger linked!
[05/14/2022, 16:11:09][MQTT] : INFO : Waiting for Connection...
[05/14/2022, 16:11:10][MQTT] : INFO : Callback recorded: light
[05/14/2022, 16:11:10][MQTT] : INFO : Callback recorded: Air
[05/14/2022, 16:11:10][MQTT] : INFO : Callback recorded: measure/ds
[05/14/2022, 16:11:10][MAIN] : NOTICE :System Started!
[05/14/2022, 16:11:10][MQTT] : INFO : Connection Established!
[05/14/2022, 16:11:10][TEMP] : ERROR : Failed to read temp! : list index out of range
[05/14/2022, 16:11:10][MAIN] : WARN :Temp returned invalid value!
[05/14/2022, 16:11:10][MAIN] : INFO : Water level has changed
[05/14/2022, 16:11:10][MAIN] : WARN :Water level is low!
[05/14/2022, 16:11:10][MAIN] : INFO : Power status changed
[05/14/2022, 16:11:10][MAIN] : WARN :Power has been lost!
[05/14/2022, 16:11:21][MAIN] : INFO : Temperatrue has changed! : 77.9
[05/14/2022, 16:11:45][MAIN] : NOTICE :Received kill signal
[05/14/2022, 16:11:45][DS] : NOTICE :Cleaning up...
======== [ RESTART: 05/14/2022, 16:12:17 ] ========
[05/14/2022, 16:12:17][MAIN] : INFO : Logger started!
[05/14/2022, 16:12:17][MQTT] : INFO : Logger linked!
[05/14/2022, 16:12:17][DS] : INFO : Logger linked!
[05/14/2022, 16:12:17][TEMP] : INFO : Logger linked!
[05/14/2022, 16:12:17][MQTT] : INFO : Waiting for Connection...
[05/14/2022, 16:12:18][MQTT] : INFO : Callback recorded: light
[05/14/2022, 16:12:18][MQTT] : INFO : Callback recorded: Air
[05/14/2022, 16:12:18][MQTT] : INFO : Callback recorded: measure/ds
[05/14/2022, 16:12:18][MAIN] : NOTICE :System Started!
[05/14/2022, 16:12:18][MQTT] : INFO : Connection Established!
[05/14/2022, 16:12:18][TEMP] : ERROR : Failed to read temp! : list index out of range
[05/14/2022, 16:12:18][MAIN] : WARN :Temp returned invalid value!
[05/14/2022, 16:12:18][MAIN] : INFO : Water level has changed
[05/14/2022, 16:12:18][MAIN] : WARN :Water level is low!
[05/14/2022, 16:12:18][MAIN] : INFO : Power status changed
[05/14/2022, 16:12:18][MAIN] : WARN :Power has been lost!
[05/14/2022, 16:12:29][MAIN] : INFO : Temperatrue has changed! : 77.9
